year,agriculture,industry,services
1998,32,20,46
1999,32,19,47
2000,31,19,48
2001,31,19,48
2002,30,21,47
2003,31,22,45
2004,31,22,45
2005,30,23,46
2006,29,23,47
2007,28,23,47
2008,28,23,48
2009,28,23,48
2010,27,23,48
2011,27,24,48
2012,27,24,48
2013,27,24,48
