agri,fish,mining,manufacturing,electricity,construction,trade,hotels,transport,financial,estates,public_ad,education,other_service,fism,all_industry,taxes,gdp_m,mm
1147970.271,66993.49101,108132.0157,404559.4211,115669.7009,257710.684,609392.7633,88341.29339,374715.3596,99706.59855,429744.2481,347976.5291,80317.55059,89694.71084,-65224.60837,4155700.028,271205.0398,4426905.068,4155700.028
1663669.995,65388.39584,112394.6396,476955.6996,109006.4564,294939.1205,640839.6268,109344.5727,378232.0632,112924.0795,443074.0756,353970.4442,83547.282,90757.45135,-67075.58202,4867968.321,307138.0343,5175106.355,4867968.321
489152.003,50426.65145,103385.3097,495570.3208,110240.8669,456557.1288,755533.2263,110346.0989,427549.2479,93863.6601,445888.203,358836.8295,83398.8889,92346.4257,-56601.27772,4016493.583,355038.0054,4371531.589,4016493.583
662271.6557,57288.99876,108028.7389,385139.3213,107199.3304,290213.8702,707857.5938,93691.97028,400040.0914,75708.46583,558431.6332,364135.6534,85582.31191,93470.25166,-49660.89215,3939398.995,286185.6587,4225584.653,3939398.995
1206738.556,71376.48068,102586.2674,437704.6266,114228.5851,268708.7088,652002.3022,90756.63063,425793.2757,110684.5432,459492.8691,369827.0858,85544.91029,94637.18343,-75550.72866,4414531.296,285353.1859,4699884.482,4414531.296
1759210.848,66341.57242,113811.7558,532062.8839,119127.5401,313970.2739,680051.1743,116336.9906,418266.4265,125668.701,465374.1452,373584.0387,89103.90284,95637.62067,-73317.18652,5195230.687,356277.518,5551508.205,5195230.687
501209.7565,50882.94814,118726.7379,532396.5455,124239.1171,516663.5879,800490.7452,116501.3416,471761.4459,110686.5756,475086.8996,375407.547,89090.73657,96470.46387,-62605.96094,4317008.487,361779.3691,4678787.856,4317008.487
672904.3224,58338.50909,106166.1805,417008.1583,113804.9666,308014.3038,778712.0655,97778.31336,476609.0454,85470.23908,608422.8364,382340.8124,90392.5846,97375.36889,-57508.06757,4235829.639,290318.0643,4526147.703,4235829.639
1266153.696,73131.77834,108907.179,466497.1901,119949.8273,305548.8849,695312.1284,95026.97435,477723.6665,126188.1127,481268.2364,386969.7575,91656.86474,98745.72608,-86573.36412,4706506.659,348842.5648,5055349.223,4706506.659
1854068.021,68472.03594,124215.0688,572981.7488,122960.5308,342260.3767,733778.6283,123383.9293,457286.6786,138469.0167,484338.0846,392092.3764,93657.13332,102519.8708,-77964.63172,5532518.869,416523.6223,5949042.491,5532518.869
513662.9074,51356.67663,134442.6631,575691.8045,128913.6187,553234.7293,868352.344,127386.7928,533545.8264,124196.208,509693.0647,397695.9223,94085.57676,101327.6663,-67552.39461,4646033.406,312576.82,4958610.226,4646033.406
683670.7916,59818.80662,115417.1577,452453.8518,128108.81,328409.7521,841009.0307,100756.4793,555415.2014,96752.31064,657705.0862,401840.1938,95112.30091,101757.2605,-66759.02608,4551468.007,311220.965,4862688.972,4551468.007
